,Word,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum,D.Mean.Sum,D.SD.Sum,D.Rat.Sum
87,achievement,7.28,2.15,40,5.57,2.17,23,7.17,1.72,53
88,achy,3.15,1.46,20,4.48,1.89,21,4.62,2.5,34
89,acid,3.26,2.02,19,4.77,2.37,22,4.26,2.43,23
90,acknowledge,6.43,1.86,21,3.26,2.18,23,6.11,2.42,18
91,acknowledgement,6.53,1.5,19,3.3,2.3,23,6.71,1.82,28
92,acne,2.18,1.47,17,4.47,2.5,19,3.44,1.96,25
93,acorn,5.85,1.76,20,4.42,2.32,24,4.77,2.31,22
94,acoustic,7.1,1.62,20,4,2.43,22,5.79,1.58,19
95,acoustics,6.33,1.2,21,3.19,1.83,21,5.86,1.67,22
96,acquaintance,5.58,1.35,24,3.24,1.64,21,5.29,1.85,21
97,acquire,5.5,1.76,20,4.86,2.01,22,7,1.89,19
98,acquisition,5,1.95,20,4.36,2.44,22,5.93,2.34,27
99,acquit,5.6,1.6,20,4.56,2.71,18,5.45,1.57,22
100,acquittal,6.19,1.72,21,4.95,2.31,20,5.03,2.36,35
101,acre,5.53,1.71,19,2.73,1.7,22,4.94,2.29,16
102,acreage,5.25,1.74,20,3.74,2,23,5.52,1.94,21
103,acrobat,6,1.3,20,4.9,2.14,21,5.42,2.24,24
104,acrylic,5.52,1.81,25,3.73,2.31,26,5.42,2.15,24
105,act,5.64,1.71,22,4.19,2.29,21,6.11,2.03,18
106,action,6,1.64,18,6.19,2.56,21,6.17,2.01,18
107,action figure,6.18,1.85,17,4.65,2.39,20,6.71,2.24,24
108,activate,5.7,1.77,40,3.78,2.54,23,6.28,2.13,25
109,activation,6.14,1.53,21,3.52,2.33,23,6.88,1.62,17
110,active,6.47,1.35,19,5.62,2.09,21,6.32,2.21,22
111,activist,6.24,1.84,21,5.26,2.33,19,5.86,1.9,21
112,activity,6.21,1.75,19,4.86,2.48,21,6.45,1.67,20
113,actor,6.15,1.27,20,4.35,2.28,20,5.64,1.99,22
114,actress,5.42,1.22,19,5.43,2.18,21,4.65,2.4,23
115,actual,6.22,1.48,18,2.75,1.94,20,5.54,1.89,24
116,actuality,5.4,1.47,20,5.55,2.28,20,5.24,2.07,25
117,acupuncture,4.81,2.23,21,4.9,2.63,20,4.77,2.62,22
118,acute,5.1,1.94,20,5.09,1.95,22,5.11,2.33,19
119,ad,4.11,1.45,19,3.33,2.17,18,5.18,2.16,17
120,adage,5.55,0.83,20,3.38,1.88,21,5.13,2.07,23
121,adamant,5.45,1.92,22,5.74,2.4,19,6.38,2.38,21
122,adapt,5.84,1.3,19,3.9,2.36,20,5.75,2.43,20
123,adaptation,5.82,1.84,22,3.55,1.92,22,6.04,2.25,23
124,add,6.23,1.77,22,4,2.38,20,6.79,2.07,19
125,adder,4.45,1.47,20,3.24,2.36,17,4.41,1.37,22
126,addict,2.86,1.93,21,5.33,2.44,45,2.74,2.2,38
127,addicted,2.89,2.11,19,4.77,2.33,22,2.84,1.89,19
128,addiction,3.52,1.81,21,4.48,2.87,23,3.84,2.63,19
129,addictive,3.52,1.72,21,4.82,2.7,22,4.4,2.82,20
130,additional,6.15,1.76,20,3.61,2.17,18,4.95,1.99,22
131,address,6.11,1.64,18,3.05,2.06,20,4.89,2.05,18
132,adept,6.14,1.56,21,4.17,2.35,23,6.5,1.66,26
133,adequate,4.7,1.56,20,3.64,2.13,22,6.89,1.57,18
134,adhere,5.17,2.12,18,3.52,2.18,21,3.9,1.86,20
135,adhesive,5.84,1.5,19,3.2,1.99,20,4.88,2.36,24
136,Adidas,5.77,1.38,22,4.18,2.74,22,6.3,2.56,20
137,adjacent,5.15,1.27,20,2.78,1.96,18,4.27,1.7,22
138,adjective,5.95,1.28,21,3.64,2.1,25,6.11,2.18,19
139,adjoining,5.06,1.26,18,3.52,2.04,21,4.65,1.92,23
