,Word,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum,D.Mean.Sum,D.SD.Sum,D.Rat.Sum
2722,copper,5.6,1.67,20,4.14,2.22,21,6.19,2.02,21
2723,copter,4.86,1.88,21,4.7,1.87,23,4.05,2.11,21
2724,copy,5.22,1.59,18,3.15,2.18,20,4.67,1.97,18
2725,copycat,3.33,1.53,21,4.62,2.53,26,4.67,2.14,24
2726,copyright,4.43,1.78,21,2.96,2.31,23,5.5,2.85,18
2727,coral,6.42,1.74,19,3.18,2.32,22,5.5,1.71,28
2728,coral snake,4,2.1,21,6.28,2.44,18,4,2.49,20
2729,cord,5.38,1.35,39,4.2,1.94,45,5.47,2.02,62
2730,cordial,6.39,1.65,18,3.1,2.2,20,5.4,2.02,25
2731,cordless,6.45,1.74,22,4.05,2.82,19,5.9,2.07,21
2732,cordon,5.22,1.66,18,2.55,1.79,22,4.48,2.41,23
2733,corduroy,5.79,1.51,19,3.45,2.42,22,4.82,1.52,28
2734,core,6.19,1.4,21,3.24,2.45,25,5.89,2.02,19
2735,cork,4.93,1.19,41,3.92,2.18,39,4.7,2.58,23
2736,corkscrew,5.26,0.93,19,3.76,1.89,21,4.96,2.18,23
2737,corn,5.95,1.32,20,3.43,1.89,21,5.65,2.19,34
2738,cornball,5.55,1.88,20,3.17,1.86,24,5.1,1.97,20
2739,cornbread,6.47,2.01,19,3.5,2.11,22,6.08,2.1,24
2740,corned,4.61,2.2,18,3.59,2.46,22,4.54,1.5,28
2741,corner,4.83,2.12,18,3.38,2.33,42,4.88,2.19,24
2742,cornerstone,5.9,1.8,20,3.33,2.2,18,6.32,1.62,22
2743,cornfield,5.05,1.96,20,3.73,2.12,22,5.32,1.8,19
2744,cornflakes,6.37,1.21,19,3.3,2.03,20,5.7,1.99,23
2745,corny,5,1.9,21,3,1.98,23,4.94,2.07,18
2746,coronary,2.62,1.47,21,4.67,2.44,21,4.4,2.06,20
2747,coronation,4.6,2.01,20,4.5,2.38,18,5.13,2.18,23
2748,coroner,3,2,21,3.61,2.39,23,3.28,1.81,18
2749,corporal,4.63,1.34,19,3.5,1.61,20,4.9,2.17,21
2750,corporate,4.9,2.51,20,4.74,2.49,23,5.05,2.5,20
2751,corporation,3.82,1.89,22,4.73,2.35,22,4.47,2.5,19
2752,corporeal,4,2.03,19,3.5,2.06,22,4.42,2.21,24
2753,corps,4.24,1.95,21,3.52,2.11,23,4.69,1.98,26
2754,corpse,2.45,1.64,38,4.89,2.22,18,3.23,2.13,48
2755,corpsman,4.05,1.83,21,3.91,2.29,23,4.7,2.25,20
2756,corral,4.5,1.32,20,3.71,1.87,21,5.35,2.19,34
2757,correct,6.94,2.34,18,3.48,2.68,21,7.06,2.01,18
2758,correction,4.05,1.36,21,4.37,2.06,19,6.05,2.01,21
2759,correctional,4.09,1.65,23,4.86,1.78,22,5.05,1.9,19
2760,corrective,4.95,1.39,19,4.05,2.11,21,5.16,2.69,25
2761,correlation,5.09,1.82,22,3.23,2.14,22,5.25,2.31,20
2762,correspond,5.75,1.41,20,3.48,2.11,23,6.76,2.02,21
2763,correspondence,6.59,1.53,22,5.05,2.25,19,5.71,1.95,21
2764,correspondent,5.32,1.67,19,3.55,1.84,22,5.29,1.73,24
2765,corresponding,5.1,1.51,21,4.52,2.57,23,5.95,1.64,20
2766,corridor,4.76,1.64,21,3.53,2.17,47,5.35,2.13,54
2767,corroborate,5.5,1.43,20,3.88,1.67,25,5.41,2.09,22
2768,corrupt,3,1.74,40,5.98,2.39,41,3.7,2.1,44
2769,corruption,3,2.12,21,4.86,2.55,22,3.63,1.9,27
2770,corsage,6.3,1.49,20,3.4,2.06,20,5.55,1.84,22
2771,corset,5.81,2.34,21,5.75,2.27,20,4.71,2.48,35
2772,cortex,5.2,1.36,20,3.67,2.15,21,5.5,1.19,20
2773,cortisone,4.42,1.3,19,3.39,2.03,18,5.06,2.08,17
2774,cosmetic,5.09,1.95,22,4.87,2.46,23,5.74,1.97,19
2775,cosmic,7.11,1.85,19,5.39,2.46,23,4.84,2.09,19
2776,cosmopolitan,5.8,1.7,20,3.86,2.14,22,5.65,1.31,20
2777,cosmos,6.5,2.26,18,4.27,2.73,22,4.14,2.41,28
2778,cost,4.11,1.97,18,4.9,2.77,21,3.67,1.81,18
2779,costly,3,1.52,20,4.08,2.83,24,4.68,2.26,19
2780,costume,6.05,2.11,20,4.78,2.26,18,6.36,2.19,22
2781,cot,5.37,1.89,19,2.95,2.56,21,5.07,1.54,27
2782,cottage,6.63,1.3,19,2.95,1.94,22,6.08,2.11,48
2783,cotton,6.05,1.96,21,2.48,2.11,23,6.24,2.02,17
2784,couch,6.52,1.44,21,3.4,2.62,20,6.19,2.03,36
2785,cougar,5.67,2.37,21,5.7,2.89,20,4.24,2.51,21
2786,cough,3.57,1.95,23,4.5,2.26,22,4.25,2.84,20
2787,council,5,1.65,20,3.86,1.68,21,5.21,2.57,34
2788,councilman,4.19,1.89,21,3.26,2.24,23,5.12,1.81,25
2789,counsel,5.48,1.54,21,2.86,1.73,22,5.19,2.33,26
2790,counseling,5.9,2.13,20,3.4,2.28,20,4.2,2.35,25
2791,counselor,5.71,1.95,21,3.45,2.15,22,4.91,2.11,22
2792,count,5.89,1.37,18,2.3,1.72,20,5.17,2.2,18
2793,countdown,5.64,1.65,22,6.47,1.74,19,4.76,2.59,21
2794,countenance,4.77,1.34,22,3.35,2,26,5.83,2.08,24
2795,counter,5.22,1,18,2.47,1.95,19,5.16,1.46,25
2796,counteract,4.73,1.45,22,4.27,2.47,22,5.1,2.27,20
2797,counterattack,4.16,2.52,19,5.83,2.53,23,5.16,2.29,19
2798,counterfeit,3.16,1.54,19,4.18,2.86,22,3,1.68,28
2799,counterpart,5.38,1.24,21,3.4,2.01,20,5.57,1.83,21
2800,counterpoint,5.24,1.51,21,4.4,2.5,20,5.53,1.93,36
2801,countess,5.85,1.09,20,3.55,2.24,22,6.41,2.02,27
2802,countless,4.8,1.28,20,4.22,2.65,18,4.14,1.93,22
2803,country,6.14,1.67,22,3.71,2.47,21,6.35,2.03,17
2804,countryside,6.94,2.04,18,2.7,2.08,20,5.8,2.22,25
2805,county,5.18,1.79,22,3.4,2.16,20,7,1.86,19
2806,coup,4.74,2.16,19,4.64,2.63,22,5,2.14,18
2807,coupe,5.05,1.81,22,3.74,2.47,23,5.32,2.19,19
2808,couple,7.11,1.49,19,4.95,2.4,22,5.61,2.21,44
2809,coupling,5.4,1.79,20,4.61,2.62,18,5.68,2.38,22
2810,coupon,6.3,1.17,20,4.22,2.65,23,5.54,2.12,26
2811,courage,7.67,1.32,21,5,2.5,24,7.27,1.78,22
2812,courageous,8.05,0.71,19,5.5,2.56,20,7.38,1.76,24
2813,courier,5.5,1.5,20,3.67,1.77,21,5.79,2.13,34
2814,court,3.52,2.09,21,4.43,2.71,21,3.94,2.48,18
2815,courteous,7.05,2.16,20,3.95,2.16,21,7.26,1.86,34
2816,courtesy,6.79,1.36,19,4.3,2.03,20,5.96,2.25,23
2817,courthouse,4.61,1.61,18,4.2,2.53,20,3.5,2.35,22
2818,courtroom,2.84,1.38,19,4.67,2.87,18,3.45,1.6,22
2819,courtship,6,1.77,22,5.38,2.67,21,5.37,2.03,19
2820,courtside,6,1.55,21,4.24,2.45,21,6,1.96,25
2821,courtyard,5.53,1.78,19,3.43,2.18,21,5.05,2.06,20
2822,cousin,6.11,2.3,18,2.6,2.28,20,5.28,1.23,18
2823,cove,5.67,2.11,21,3.17,1.99,23,6.06,2.34,18
2824,coven,5.43,2.18,21,4.8,2.46,20,4.78,2.26,36
2825,covenant,5.21,1.65,19,4,1.95,21,5.35,2.4,23
2826,cover,5.59,1.37,22,3.76,2.45,21,5.78,2.05,18
2827,coverage,5.77,1.45,22,3.19,2.04,26,5.96,2.2,24
2828,covert,3.79,1.27,19,4.32,2.36,22,4.96,1.73,24
2829,covet,4.48,1.66,21,4.04,2.46,23,5,2.33,19
2830,coveted,5.95,1.82,20,4.88,2.47,24,4.39,2.35,28
2831,cow,5.42,1.71,19,2.95,1.86,42,5.24,2.03,42
2832,coward,2.42,1.64,19,4.09,2.73,44,4.09,2.6,22
2833,cowardice,3.05,1.27,19,4.25,2.2,20,3.64,2.5,22
2834,cowardly,2.85,1.6,20,5.14,1.93,21,3.85,2.45,33
2835,cowboy,5.43,1.8,21,4.43,2.54,21,5.67,2.22,24
2836,cowgirl,6.11,2,19,5.3,2.62,23,5.63,1.67,19
2837,cowhand,4.65,1.63,20,3.33,2.08,21,5.44,2.06,25
2838,coworker,5,1.2,19,3.57,1.91,21,4.55,2.26,20
2839,coy,5.5,1.32,20,3.72,2.05,18,5.5,2.22,22
2840,coyote,4.05,1.86,21,5.55,2.09,22,4.38,2.18,21
2841,cozy,7.28,1.58,40,3.56,2.7,43,6.69,1.97,42
2842,crab,5.81,1.5,21,4.13,2.55,23,4.52,1.66,25
2843,crabby,3.16,1.12,19,6,1.48,21,5.09,1.9,23
2844,crack,2.68,1.86,22,5.25,2.53,20,5.42,2.59,19
2845,cracker,5.11,1.45,19,3.64,2.46,22,5.26,2.1,27
2846,crackerjack,7.21,1.65,19,5.13,2.3,23,4.94,1.3,17
2847,crackle,5.53,1.74,19,5.27,2.27,22,4.86,1.56,21
2848,crackpot,3.38,2.25,21,5.1,2.59,20,4.05,2.56,21
2849,cradle,6.1,1.86,20,3.67,2.59,18,4.86,1.98,22
2850,craft,6.38,1.53,21,4.04,1.81,25,6.36,2.32,22
2851,craftsman,6.71,1.59,21,4.11,2.38,19,6.23,2.29,35
2852,craftsmanship,6.89,1.08,18,4.52,2.06,21,6.3,1.79,23
2853,crafty,5.73,1.64,22,5.04,2.82,26,6.29,1.92,24
2854,cram,4.68,1.55,22,4.19,2.54,21,5.18,2.26,22
2855,cramp,2.91,1.5,23,4.73,2.59,22,4.5,2.89,20
2856,cranberry,6.36,1.99,22,3.64,1.92,22,5.74,2.45,19
2857,cranberry juice,6,2.79,21,4.25,2.69,20,5.86,2.1,21
2858,cranial,5.37,1.57,19,4.62,2.01,21,4.83,1.92,23
2859,cranium,5.81,1.36,21,3.55,2.52,22,5.15,2.09,27
2860,crank,3.85,1.87,20,4.67,2.63,18,5.17,2.37,24
2861,cranky,3,1.75,20,4.71,2.39,21,4.36,2.25,25
2862,cranny,4.68,1.49,19,3.46,2.4,24,4.61,2.15,28
2863,crap,3.44,1.69,18,4.62,2.36,21,4.11,1.91,18
2864,crappy,2.35,1.57,20,5.26,2.47,19,3.92,2.13,26
2865,crash,2.9,2.03,42,4.55,2.94,22,3.3,2.24,47
2866,crass,3.73,1.16,22,4.73,2.33,22,5.11,1.7,19
2867,crate,4.8,1.36,20,2.72,2.08,18,5.45,1.97,22
2868,crater,5.15,1.27,20,4.84,2.46,19,4.79,1.82,24
2869,crave,5.41,1.59,22,5.04,2.95,26,5,2.27,24
2870,crawl,3.95,1.54,19,3.62,1.83,21,4.95,1.85,20
2871,crayon,5.76,1.64,21,2.91,2.04,22,5.93,2.07,27
2872,craze,5.33,1.8,21,6.45,1.9,20,5.22,2.04,36
2873,crazed,3.5,1.57,22,6.25,2.1,20,4.06,2.47,33
2874,craziness,3.82,2.04,22,6.83,1.99,23,4.32,2.08,19
2875,crazy,5.14,1.93,22,5.9,2.26,21,4.19,2.1,16
2876,creak,4.68,1.63,19,4.4,2.39,20,4.61,2.15,23
2877,creaking,4.55,1.82,20,4.77,2.05,22,5.38,1.99,21
2878,cream,6.56,1.95,18,3.8,2.78,20,6.11,1.53,18
2879,creamed,6.1,1.68,20,4.75,2.63,20,5.56,2.4,36
2880,creamer,5.47,1.31,19,2.81,1.81,21,6.09,1.76,23
2881,creamy,6.48,2.04,21,3.12,2.68,24,6.06,2.19,17
2882,crease,4.86,1.36,22,4,2.34,23,5.63,1.92,19
2883,create,7.86,1.13,22,6.26,2.58,19,7,2.24,21
2884,creation,6.85,1.53,20,5.35,2.06,20,6.38,1.77,21
2885,creative,7.06,1.55,18,4.86,2.83,21,6.78,2.07,23
2886,creativity,7.73,1.35,22,5.3,2.58,23,6.79,2.18,19
2887,creator,6.45,2.06,20,4.89,2.98,19,6.12,2.45,26
2888,creature,6.06,1.35,18,4.77,2.27,22,4.82,1.92,22
2889,credence,5.79,1.18,19,4.64,2.06,22,5.26,1.85,19
2890,credibility,7,1.45,19,4.05,2.38,21,5.92,2.25,25
2891,credible,6.95,1.36,21,3.95,2.82,20,6.05,2.06,22
2892,credit,5,2.47,18,4.38,3.02,21,5,2.63,18
2893,credit card,5.55,2.52,20,4.52,2.62,21,5.15,2.55,34
2894,creed,5.25,1.68,20,3.67,1.85,18,4.45,2.04,22
2895,creek,6.32,1.6,19,2.67,1.57,18,5,2.32,17
2896,creep,2.95,2.2,19,4.78,2.26,23,4.63,2.09,19
2897,creeper,3.61,1.97,18,5.68,2.64,22,3.86,2.27,22
2898,creepy,2.52,1.29,21,5.54,2.06,26,4.33,2.06,24
2899,cremation,4,1.63,19,5.29,2.85,21,4.05,2.13,22
2900,crepe,6.48,1.78,21,3.62,2.76,24,5.55,1.99,20
2901,crescendo,5.58,1.64,19,4.91,2.41,23,5.8,2.12,20
2902,crescent,5.9,1.89,20,3.32,1.86,22,5.81,1.69,21
2903,crest,4.9,1.58,21,3.39,2.39,23,6.06,2.01,18
2904,cretin,4.47,1.12,19,3.71,2.05,21,4.95,1.5,21
2905,crevice,4.67,1.39,21,4.58,2.17,19,4.62,1.99,21
2906,crew,5.83,1.62,18,3.38,2.09,21,5,2.09,18
2907,crewman,5.14,1.32,22,3.2,2.04,20,4.91,1.9,22
2908,crib,6.43,2.34,21,4.26,2.73,19,4.77,2.44,35
2909,cricket,5.71,1.76,21,3.22,2.78,23,4.88,2.23,17
2910,crime,1.95,1.13,19,5.68,2.62,44,3.31,1.98,42
2911,criminal,2.11,0.81,19,4.49,2.62,45,4.09,2.63,58
2912,crimp,4.95,1.24,21,3.41,2.22,22,4.37,2.42,27
2913,crimson,5.67,1.35,21,4.52,2.52,23,5.04,1.82,26
2914,cringe,3.24,1.95,21,5.85,1.63,20,3.57,2.52,21
2915,cripple,2.47,1.61,19,4.05,2.79,22,2.61,1.62,28
2916,crippling,2.71,1.59,21,4.88,2.57,25,2.74,2.18,19
2917,crisis,2.05,1.08,19,6.29,2.37,21,3.77,2.65,57
2918,crisp,5.23,2.25,22,3.95,2.71,21,6.14,1.85,21
2919,crispy,6.18,1.92,22,5,2.45,25,6.08,2.34,24
2920,critic,4.1,1.68,20,4.25,1.86,20,4.86,2.42,22
2921,critical,3.95,2.17,19,4.95,2.24,20,4.22,1.83,23
2922,criticism,3.84,1.8,19,5.95,2.2,21,4.17,2.29,23
2923,criticize,2.41,1.26,22,5.27,2.39,22,4.7,2.36,20
2924,critique,4.8,1.96,20,3.85,2.64,20,6,2.79,22
2925,critter,5.4,1.76,20,4.05,2.37,20,4.43,2.16,21
2926,croak,3.29,1.62,21,4.52,2.38,21,3.58,2.17,24
2927,croc,4,2.25,20,5.06,3.24,18,4.79,2.55,24
2928,crock,5.1,1.59,20,4.32,2.63,22,5.58,2.18,26
2929,crocodile,3.15,1.93,20,6.48,1.86,21,3.47,2.39,34
2930,croissant,7,1.78,20,4.5,2.59,20,6.04,2.03,26
2931,crook,2.86,1.46,22,4.62,2.9,26,3.82,2.5,22
2932,crooked,3.17,1.82,18,4.18,2.79,22,3.18,1.68,28
2933,crop,5.88,2.06,17,3.19,1.81,21,5.09,1.69,22
2934,croquet,5.63,1.92,19,3.5,2.24,22,5.64,1.79,22
2935,cross,5.67,2.54,18,3.05,2.11,20,4,2.25,18
2936,cross country,5.8,2.04,20,4.65,2.13,20,5.96,1.74,25
2937,crossbow,4.91,1.6,22,5.38,2.55,26,5.96,2.27,24
2938,crossfire,4.16,1.42,19,5.9,2.47,21,4.65,2.27,23
2939,crossover,5.44,0.78,18,3.95,2.16,21,5.7,2.22,23
2940,crosswalk,5.25,0.85,20,3.52,2.02,21,5.88,2.43,34
2941,crossword,6.58,1.68,19,3.74,2.45,23,5.84,1.57,19
2942,crotch,4.62,1.66,21,4.96,2.74,23,5,1.74,26
2943,crouch,4.79,1.65,19,4.05,1.79,20,4.87,1.79,23
2944,crow,4.32,2.29,19,3.55,2.37,20,5.4,2.46,20
2945,crowbar,4.81,1.86,21,3.61,2.59,18,5.45,2.34,22
2946,crowd,4.48,2.44,21,5.15,2.32,20,5.21,3.29,19
2947,crowded,3.2,1.24,20,3.95,2.5,20,3.45,2.2,22
2948,crown,6,2.11,19,4.52,2.09,21,5.62,2.32,24
2949,crucial,5.16,2.03,19,4.14,2.53,22,4.91,2.29,23
2950,crucifix,4.1,2.15,20,4.19,2.58,21,4.8,3.03,25
2951,crucifixion,2.82,1.99,22,5.62,2.06,26,3.83,2.39,24
2952,crucify,2.26,1.52,19,5.6,2.54,42,3.11,1.41,18
2953,crud,4.05,1.89,22,3.89,1.81,18,4.1,2.14,21
2954,crude,3.24,1.87,21,4.51,2.34,39,3.35,1.5,20
2955,cruel,2.73,2.07,41,5.07,2.43,44,4.78,2.81,23
2956,cruelty,2.37,2.22,19,5.9,2.68,21,2.64,2.02,28
2957,cruise,6.47,2.2,19,4.32,2.8,22,5.68,2.25,22
2958,cruise ship,7.05,2.11,20,4.42,3.12,24,4.65,2.41,20
2959,cruiser,5.32,1.73,19,2.9,2.25,20,5.7,1.78,20
2960,crumb,5.14,1.31,21,2.95,1.73,22,4.62,1.83,21
2961,crumble,4.25,1.59,20,4,2.29,17,4.14,1.86,22
2962,crummy,3.9,1.97,20,4.26,1.86,23,4.38,1.96,21
2963,crunch,4.79,1.18,19,4.17,2.2,18,5,1.9,17
2964,crunchy,5.86,1.74,21,4.45,2.24,22,5.52,1.33,21
2965,crusade,4.24,1.67,21,6.2,1.85,20,4.71,2.63,21
2966,crusader,5.63,1.89,19,5.09,2.07,23,4.63,1.74,19
2967,crush,4.72,2.59,18,5.6,2.41,20,3.96,1.88,25
2968,crushed,2.87,1.58,39,5.07,2.41,41,4.24,2.85,25
2969,crusher,4.8,1.91,20,4.65,2.19,23,4.29,2.19,21
2970,crust,5.76,1.84,21,3.62,1.91,21,5.96,2.23,25
2971,crusty,4.29,1.68,24,3.17,2.08,24,4.75,2.29,20
2972,crutch,3.64,1.36,42,3.67,2.2,18,4.08,2.43,48
2973,cry,3.22,2.41,18,5.45,2.82,20,2.56,1.58,18
2974,crybaby,2.95,2.01,19,5.05,3.2,22,3.21,1.73,28
2975,crypt,2.67,1.35,21,4.13,2.55,23,4,2.21,26
2976,cryptic,3.86,1.64,22,5.53,2.09,19,4.33,1.85,21
2977,crystal,6.75,1.02,20,4.1,2.68,21,6.72,2.13,25
2978,cub,6.71,1.52,21,3.95,2.61,22,4.24,1.89,21
2979,cubby,5,1.46,18,3.71,2.08,21,5.65,1.82,23
2980,cube,4.75,1.8,20,3.09,1.8,22,5.53,1.58,19
2981,cubic,4.7,1.58,23,3,2.07,22,5.6,2.33,20
2982,cubicle,3.8,1.54,20,3.05,2.11,20,3.86,2.42,22
2983,cuckold,3.6,2.09,20,3.78,2.21,18,4.18,1.84,22
2984,cuckoo,4.79,2.57,19,4.57,2.35,23,4.53,1.84,19
2985,cucumber,6.47,1.74,19,3.17,2.3,24,5.86,2.32,28
2986,cuddle,7.6,0.99,20,3.83,2.96,23,6.65,2.03,48
2987,cue,5.84,2.01,19,4.35,2.39,20,4.62,2.1,24
2988,cuff,4.81,1.94,21,3.56,2.29,25,4.16,2.57,19
2989,cuisine,6.88,1.73,41,4.51,2.82,47,5.75,2.05,20
2990,culinary,6.33,1.88,21,4.5,2.3,22,5.85,1.79,20
2991,culmination,5.85,1.57,20,3.43,2.62,21,5.2,2.35,25
2992,culprit,2.9,1.52,20,5.54,2.69,24,3.82,2.14,28
2993,cult,2.77,1.6,22,5.48,1.66,21,3.61,2.76,23
2994,cultivate,5.73,1.58,22,3.81,2.58,21,6.23,2.02,22
2995,cultural,6.9,1.41,20,4.55,1.57,20,5.41,1.79,22
2996,culture,6.28,1.27,18,4.06,2.01,18,5.71,2.28,17
2997,cultured,6.15,2.08,20,3.33,2.15,21,6.4,2.25,25
2998,cunning,5.05,1.57,20,4.9,1.62,20,6.58,1.92,19
2999,cunt,3.7,2.94,20,6.1,2.53,21,3.24,2.56,34
3000,cup,5.94,2.04,18,2.6,2.01,20,5.28,1.74,18
3001,cupboard,4.81,1.33,21,3.52,2.25,23,5.65,1.77,26
3002,cupcake,6.9,1.58,21,4.22,2.54,23,5.85,1.8,26
3003,curator,6.42,2.09,19,2.73,1.72,22,5.11,1.95,28
3004,curb,4.65,1.35,20,3.59,2.15,22,5.47,1.9,19
3005,curd,5.19,2.14,21,4.37,2.79,19,4.72,2.28,36
3006,cure,7.81,1.33,21,4.5,2.76,22,5.45,2.36,22
3007,curfew,4.14,1.67,22,4,2.47,23,5,2.4,19
3008,curiosity,6.37,1.42,19,5.9,2.14,21,6.21,2.37,34
3009,curious,6.58,1.2,40,5.74,2.12,915,6.88,1.6,24
3010,curl,5.72,1.67,18,3.05,1.79,20,5.4,1.96,25
3011,curling,5,1.65,20,4.43,1.89,21,5.47,2.25,34
3012,currency,5.9,1.87,21,4.05,2.62,21,5.3,2.57,27
3013,current,5.53,1.22,19,3.25,2.17,20,5.9,2.17,21
3014,curriculum,5.3,1.69,20,3.56,2.36,18,4.08,2.21,24
3015,curry,5.4,2.09,20,3.17,2.2,18,5.5,1.74,22
3016,curse,2.9,2.17,21,5.2,2.38,20,5.15,2.37,20
3017,curt,4.05,2.16,21,3.2,2.35,20,4.32,2.71,22
3018,curtain,5.36,1.53,22,3.62,2.12,26,6.29,2.03,24
3019,curtains,5.44,1.45,41,2.63,1.83,19,5.79,1.88,47
3020,curtsy,6.35,1.42,20,4.6,2.44,20,5.76,1.74,25
3021,curve,5.81,1.97,21,4.52,2,23,5.14,1.85,21
3022,curved,5.24,1.14,21,3.91,2.69,22,5.7,2.09,27
3023,cushion,5.9,1.61,21,2.76,1.55,21,6.44,1.8,25
3024,cushy,5.95,1.54,20,4.23,2.74,22,5.81,2.09,27
3025,cuss,4,2.13,20,6.25,2.34,20,5.35,2.19,26
3026,custard,5.45,1.73,20,3.5,2.15,22,5.96,2.28,27
3027,custodial,5.05,1.66,21,3.42,2.7,24,4.9,2.51,20
3028,custodian,3.79,1.51,19,2.67,1.74,21,4.45,1.54,20
3029,custody,4.74,1.79,19,4.14,2.8,22,5.54,2.38,28
3030,custom,5.29,1.7,42,4,2.07,21,5.56,2.05,48
3031,customary,5,1.11,19,3.44,1.69,18,4.94,2.33,17
3032,customer,5.86,1.49,21,3.4,2.06,25,6.16,2.52,19
3033,customized,6.91,1.54,22,4.87,2.65,23,6.58,1.64,19
3034,cut,3.9,1.84,40,5.07,2.43,46,4.55,2.14,47
3035,cute,7.56,1.07,41,5.05,2.82,21,6.02,2.27,54
3036,cutie,7.43,1.29,21,4.62,2.4,21,5.44,2.1,25
3037,cutlass,5,1.41,20,4.55,1.84,22,5.26,1.82,19
3038,cutoff,3.14,1.46,21,3.92,1.69,24,5,2.16,22
3039,cutter,4.05,1.62,22,4.35,2.42,26,5.88,2.19,24
3040,cutthroat,3.14,1.77,21,5.65,2.19,23,4.27,2.54,26
3041,cutting board,5.35,1.6,20,3.83,2.66,18,6.25,2.35,24
3042,cyanide,2.7,1.45,20,5.72,2.67,18,4.92,2.38,24
3043,cyberspace,5.73,1.7,22,5.04,2.7,23,5.37,2.31,19
3044,cycle,5.64,1.36,22,4.42,2.29,19,5.81,1.75,21
3045,cyclone,3.47,1.8,43,5.09,2.72,47,3.18,1.92,44
3046,cylinder,5.45,1.15,20,3.14,2.08,22,4.57,1.8,21
3047,cynic,3.45,1.92,22,4.68,1.67,19,4.81,2.29,21
3048,cynical,3.3,1.45,20,4.78,2.73,18,4.95,2.08,22
3049,cynicism,3.41,1.62,22,5,2.47,22,4.79,2.23,19
3050,cyst,2.5,1.5,22,4.28,2.28,25,3.17,2.01,24
3051,cystic,3.19,1.6,21,3.55,2.32,22,4.26,2.21,27
3052,czar,4.53,1.78,19,4.79,2.86,24,4.36,2.68,28
3053,dab,5,1.45,20,3.11,1.91,18,5.62,2.67,24
3054,dabble,5.48,1.57,21,3.05,1.99,21,5.41,1.74,22
3055,dad,7.14,2.17,22,4.05,2.52,21,6.12,2.57,17
3056,daddy,7.27,1.98,22,4.24,2.7,21,5.78,2.56,18
3057,daft,4.5,1.28,20,2.75,1.68,20,4.82,1.65,22
3058,dagger,4.38,1.8,21,5.79,2.36,43,4.83,2.5,24
3059,daily,5.74,1.88,19,4.2,2.48,20,5.38,2.14,24
3060,dainty,6.42,1.74,19,2.7,1.84,20,5.2,2.21,20
3061,daiquiri,5.68,1.8,19,4.95,2.31,20,5.29,1.92,24
3062,dairy,6.09,1.66,22,3.9,2.34,21,6.39,1.83,23
3063,daisy,7.48,1.72,21,3.95,2.76,19,5.37,2.43,19
3064,dam,4.58,0.96,19,3.67,2.13,21,5.26,2.3,23
3065,damage,2.98,1.67,42,4.86,2.61,43,3.46,1.64,24
3066,dame,6.1,1.8,20,4.22,2.67,18,5.54,2.43,24
3067,damn,4.32,1.78,22,5.1,2.47,21,4.39,2.33,18
3068,damnation,3.14,2.15,21,5.77,1.93,22,3.55,2.78,20
3069,damp,4.05,1.32,20,2.8,1.99,20,3.95,1.72,21
3070,damper,4.3,1.61,23,3.59,2.04,22,4.55,2.16,20
3071,damsel,5.74,1.73,19,4.44,2.31,18,4.29,2.02,17
3072,dance,7.27,1.49,22,5.48,2.62,21,6.28,2.3,18
3073,dancer,6.64,1.71,39,4.52,2.44,42,5.78,2.41,50
3074,dandruff,3.05,1.99,19,4.41,2.15,22,3.57,1.86,21
3075,dandy,6.55,1.76,20,4,1.87,21,6.12,2.03,25
3076,danger,2.66,1.7,41,5.84,2.74,44,3.64,2.42,22
3077,dangerous,2.33,1.88,18,6.81,2.34,21,2.56,1.82,18
3078,dangle,4.76,2.17,21,4.25,2.53,20,3.95,2.13,22
3079,dank,3.95,1.64,20,3,1.78,20,3.77,2.05,22
3080,dare,4.67,1.85,18,5.6,2.64,20,4.17,2.64,18
3081,daredevil,4.89,1.49,19,6.33,2.18,21,5.28,2.78,25
3082,daresay,5.35,1.79,20,3.76,2.55,21,4.88,1.94,25
3083,daring,6,1.53,19,6.14,1.9,21,6.04,2.08,23
3084,dark,5.08,1.8,40,4.09,2.43,22,4.61,2.46,44
3085,darken,4.45,1.43,20,3.86,2.22,21,5.76,2.65,25
3086,darkened,3.37,1.5,19,3.77,2.11,22,3.92,2.04,24
3087,darkness,4.71,1.93,21,4.08,2.04,25,4.82,2.61,22
3088,darkroom,4.9,1.94,20,3.61,1.73,23,5.76,2.1,21
3089,darling,7.32,1.29,22,3.95,2.33,21,5.44,1.76,18
3090,darn,3.81,1.81,21,3.17,2.37,23,5.56,2.01,18
3091,dart,4.76,1.79,21,3.87,2.58,23,5.61,2.23,18
3092,dash,5.05,1.43,20,4.29,2.07,24,5.86,2.25,22
3093,dashboard,5.25,1.21,20,3.15,1.87,20,5.32,1.52,22
3094,dashing,6.62,1.77,21,4.28,2.56,25,6.05,1.93,19
3095,database,4.75,1.89,20,3.33,2.33,18,6.12,2.56,24
3096,date,7.18,1.5,22,4.33,2.5,21,5.11,2.19,18
3097,daughter,6.73,2.33,22,5,2.63,21,5.06,1.76,18
3098,dawdle,4.77,1.48,22,3.29,1.9,21,4.86,1.82,21
3099,dawn,6.74,1.84,42,3.1,2.22,20,4.98,2.59,44
3100,day,6.36,1.4,22,3.62,2.31,21,5.59,2.06,17
3101,daybreak,7.16,1.46,19,3.95,2.4,21,5.3,2.24,23
